# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT_SPANISH	CONCEPT_FRENCH	CONCEPT_PORTUGUESE	SEMANTIC_FIELD	VALUE_IN_SOURCE	VALUE	FORM1	FORM2	FORM	SEGMENTS	SOURCE	COGID	PROBLEMATIC
2243	Yukuna	Inga sp., general	guaba	pis doux	ingá	plant.edible	$ɲaʔakú$ (ingá) {Epps}, $wíɾu$ (ingá) {Epps}		wíɾu		wíɾu	w í ɾ u	Epps	15	
4895	Baniwa	Inga sp., general			ingá		<hawádza> (ingá) {Ramirez 2001}, <iitsi-páateni> (ingá) {Ramirez 2001}, <kawiápali> (ingá) {Ramirez 2001}, <konópa> (ingá) {Ramirez 2001}, <ooni-pateni> (ingá) {Ramirez 2001}, <paate> (ingá) {Ramirez 2001}, <potto-xapi> (ingá) {Ramirez 2001}, <wiritéekhe> (ingá) {Ramirez 2001}	hawádza			hawádza	h a w á dz a	Ramirez 2001	14	
4896	Baniwa	Inga sp., general			ingá		<hawádza> (ingá) {Ramirez 2001}, <iitsi-páateni> (ingá) {Ramirez 2001}, <kawiápali> (ingá) {Ramirez 2001}, <konópa> (ingá) {Ramirez 2001}, <ooni-pateni> (ingá) {Ramirez 2001}, <paate> (ingá) {Ramirez 2001}, <potto-xapi> (ingá) {Ramirez 2001}, <wiritéekhe> (ingá) {Ramirez 2001}	iitsi-páateni			iitsi-páateni	i i t � i � p a � a t e n i	Ramirez 2001	20	
4897	Baniwa	Inga sp., general			ingá		<hawádza> (ingá) {Ramirez 2001}, <iitsi-páateni> (ingá) {Ramirez 2001}, <kawiápali> (ingá) {Ramirez 2001}, <konópa> (ingá) {Ramirez 2001}, <ooni-pateni> (ingá) {Ramirez 2001}, <paate> (ingá) {Ramirez 2001}, <potto-xapi> (ingá) {Ramirez 2001}, <wiritéekhe> (ingá) {Ramirez 2001}	kawiápali			kawiápali	k a w i á p a l i	Ramirez 2001	24	
4898	Baniwa	Inga sp., general			ingá		<hawádza> (ingá) {Ramirez 2001}, <iitsi-páateni> (ingá) {Ramirez 2001}, <kawiápali> (ingá) {Ramirez 2001}, <konópa> (ingá) {Ramirez 2001}, <ooni-pateni> (ingá) {Ramirez 2001}, <paate> (ingá) {Ramirez 2001}, <potto-xapi> (ingá) {Ramirez 2001}, <wiritéekhe> (ingá) {Ramirez 2001}	konópa			konópa	k o n ó p a	Ramirez 2001	26	
4899	Baniwa	Inga sp., general			ingá		<hawádza> (ingá) {Ramirez 2001}, <iitsi-páateni> (ingá) {Ramirez 2001}, <kawiápali> (ingá) {Ramirez 2001}, <konópa> (ingá) {Ramirez 2001}, <ooni-pateni> (ingá) {Ramirez 2001}, <paate> (ingá) {Ramirez 2001}, <potto-xapi> (ingá) {Ramirez 2001}, <wiritéekhe> (ingá) {Ramirez 2001}	ooni-pateni			ooni-pateni	o o n i � p a t e n i	Ramirez 2001	20	
4900	Baniwa	Inga sp., general			ingá		<hawádza> (ingá) {Ramirez 2001}, <iitsi-páateni> (ingá) {Ramirez 2001}, <kawiápali> (ingá) {Ramirez 2001}, <konópa> (ingá) {Ramirez 2001}, <ooni-pateni> (ingá) {Ramirez 2001}, <paate> (ingá) {Ramirez 2001}, <potto-xapi> (ingá) {Ramirez 2001}, <wiritéekhe> (ingá) {Ramirez 2001}	paate			paate	p aa t e	Ramirez 2001	29	
4901	Baniwa	Inga sp., general			ingá		<hawádza> (ingá) {Ramirez 2001}, <iitsi-páateni> (ingá) {Ramirez 2001}, <kawiápali> (ingá) {Ramirez 2001}, <konópa> (ingá) {Ramirez 2001}, <ooni-pateni> (ingá) {Ramirez 2001}, <paate> (ingá) {Ramirez 2001}, <potto-xapi> (ingá) {Ramirez 2001}, <wiritéekhe> (ingá) {Ramirez 2001}	potto-xapi			potto-xapi	p o t t o � x a p i	Ramirez 2001	30	
4902	Baniwa	Inga sp., general			ingá		<hawádza> (ingá) {Ramirez 2001}, <iitsi-páateni> (ingá) {Ramirez 2001}, <kawiápali> (ingá) {Ramirez 2001}, <konópa> (ingá) {Ramirez 2001}, <ooni-pateni> (ingá) {Ramirez 2001}, <paate> (ingá) {Ramirez 2001}, <potto-xapi> (ingá) {Ramirez 2001}, <wiritéekhe> (ingá) {Ramirez 2001}	wiritéekhe			wiritéekhe	w i r i t é e kh e	Ramirez 2001	31	
#
1	Achagua	achiote	achiote	roucou	urucum	plant	$tʃa:wihiri$ <tʃáawihiri> (achiote) {Melendez 2011}	tʃáawihiri	tʃa:wihiri		tʃa:wihiri	tʃ a: w i h i r i	Melendez 2011	32	
2	Baré	achiote	achiote	roucou	urucum	plant	$umutu$ (urucum) {Oliveira 93}		umutu		umutu	u m u t u	Oliveira 93	34	
3	Kabiyari	achiote	achiote	roucou	urucum	plant	<'pʰiri> $'pʰiri$ (urucum) {Epps}	'pʰiri	'pʰiri		'pʰiri	pʰ i r i	Epps	35	
4	Piapoco	achiote	achiote	roucou	urucum	plant	$piirí$ (urucum) {H&R 1992}		piirí		piirí	p ii r í	H&R 1992	35	
5	Resigaro	achiote	achiote	roucou	urucum	plant	$pʰiigí$ (achiote) {Epps}		pʰiigí		pʰiigí	pʰ ii g í	Epps	37	
6	Tariana	achiote	achiote	roucou	urucum	plant	$piɾína$ (urucum) {Aikhenvald 2001}, $piɾína$ (urucum) {Aikhenvald 2001}, $piɾída$ (urucum) {Aikhenvald 2001}		piɾína		piɾína	p i ɾ í n a	Aikhenvald 2001	35	
7	Tariana	achiote	achiote	roucou	urucum	plant	$piɾína$ (urucum) {Aikhenvald 2001}, $piɾína$ (urucum) {Aikhenvald 2001}, $piɾída$ (urucum) {Aikhenvald 2001}		piɾína		piɾína	p i ɾ í n a	Aikhenvald 2001	35	
8	Tariana	achiote	achiote	roucou	urucum	plant	$piɾína$ (urucum) {Aikhenvald 2001}, $piɾína$ (urucum) {Aikhenvald 2001}, $piɾída$ (urucum) {Aikhenvald 2001}		piɾída		piɾída	p i ɾ í d a	Aikhenvald 2001	35	
9	Warekena	achiote	achiote	roucou	urucum	plant	$kaɾáwi$ (urucum) {Aikhenvald 2012}		kaɾáwi		kaɾáwi	k a ɾ á w i	Aikhenvald 2012	39	
10	Yukuna	achiote	achiote	roucou	urucum	plant	$pʰiɾí$ (urucum) {Epps}		pʰiɾí		pʰiɾí	pʰ i ɾ í	Epps	35	
4441	Baniwa	achiote			urucum		<phirimaapa> (achiote) {Chacon 2016}	phirimaapa			phirimaapa	ph i r i m aa p a	Chacon 2016	33	
#
11	Achagua	afternoon	tarde	après-midi	tarde	temporal adv	$taikala$ <táikala> (por la tarde) {Melendez 2011}	táikala	taikala		taikala	t a i k a l a	Melendez 2011	40	
12	Baré	afternoon	tarde	après-midi	tarde	temporal adv	$pʰiwakana$ (tarde) {Oliveira 93}		pʰiwakana		pʰiwakana	pʰ i w a k a n a	Oliveira 93	42	
13	Resigaro	afternoon	tarde	après-midi	tarde	temporal adv	$anoógí$ (tarde) {Allin 1979}		anoógí		anoógí	a n o ó g í	Allin 1979	43	
14	Tariana	afternoon	tarde	après-midi	tarde	temporal adv	$dékina$ (tarde) {Aikhenvald 2001}, $dáikina$ (tarde) {Aikhenvald 2001}		dékina		dékina	d é k i n a	Aikhenvald 2001	40	
15	Tariana	afternoon	tarde	après-midi	tarde	temporal adv	$dékina$ (tarde) {Aikhenvald 2001}, $dáikina$ (tarde) {Aikhenvald 2001}		dáikina		dáikina	d á i k i n a	Aikhenvald 2001	40	
16	Warekena	afternoon	tarde	après-midi	tarde	temporal adv	$yawa$ (tarde) {Aikhenvald 2012}		yawa		yawa	y a w a	Aikhenvald 2012	45	
17	Yukuna	afternoon	tarde	après-midi	tarde	temporal adv	$ɲaano$ (tarde) {Schauer 2005}		ɲaano		ɲaano	ɲ aa n o	Schauer 2005	46	
4442	Baniwa	afternoon			tarde		<déepiina> (tarde) {Ramirez 2001}	déepiina			déepiina	d é e p ii n a	Ramirez 2001	40	
#
18	Achagua	agouti	añuje, picure	agouti	cutia	animal	$hi:ʃi$ <híiʃi> (picure) {Melendez 2011}	híiʃi	hi:ʃi		hi:ʃi	h i: ʃ i	Melendez 2011	47	
19	Kabiyari	agouti	añuje, picure	agouti	cutia	animal	<phíit̪i> $phíit̪i$ (cutia) {Epps}	phíit̪i	phíit̪i		phíit̪i	pʰ í i t̪ i	Epps	47	
20	Piapoco	agouti	añuje, picure	agouti	cutia	animal	<píisi> $pí:si$ (cutia) {dp91}	píisi	pí:si		pí:si	p í: s i	dp91	47	
21	Resigaro	agouti	añuje, picure	agouti	cutia	animal	$pʰíiʔtsí$ (cutia) {Epps}		pʰíiʔtsí		pʰíiʔtsí	pʰ í i ʔ ts í	Epps	47	
22	Tariana	agouti	añuje, picure	agouti	cutia	animal	$phíc̃i$ (cutia) {Aikhenvald 2001}		phíc̃i		phíc̃i	ph í c̃ i	Aikhenvald 2001	47	
23	Warekena	agouti	añuje, picure	agouti	cutia	animal	$wayuɾu$ (agouti) {Aikhenvald 2012}, $atʃiɾi$ (cutia pequena) {Aikhenvald 2012}		wayuɾu		wayuɾu	w a y u ɾ u	Aikhenvald 2012	53	
24	Warekena	agouti	añuje, picure	agouti	cutia	animal	$wayuɾu$ (agouti) {Aikhenvald 2012}, $atʃiɾi$ (cutia pequena) {Aikhenvald 2012}		atʃiɾi		atʃiɾi	a tʃ i ɾ i	Aikhenvald 2012	55	
25	Yukuna	agouti	añuje, picure	agouti	cutia	animal	$pitʃi$ $pitʃi$ (cutia) {Epps}		pitʃi		pitʃi	p i tʃ i	Epps	47	
4443	Baniwa	agouti			cutia		<phítsi> (cutia) {Chacon2016}	phítsi			phítsi	ph í ts i	Chacon2016	47	
#
26	Achagua	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$ijalia:$ <ijáIiaa> (ají) {Melendez 2011}	ijáIiaa	ijalia:		ijalia:	i j a l i a:	Melendez 2011	56	
27	Piapoco	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$àasi$ (pimenta) {H&R 1992}		àasi		àasi	à a s i	H&R 1992	57	
28	Resigaro	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$aatshíu$ (ají) {Allin 1979}		aatshíu		aatshíu	aa tsh í u	Allin 1979	58	
29	Tariana	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$ãsi$ (pimenta) {Aikhenvald 2001}		ãsi		ãsi	ã s i	Aikhenvald 2001	57	
30	Yukuna	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$aʔahí$ (ahí) {Schauer 2005}		aʔahí		aʔahí	a ʔ a h í	Schauer 2005	57	
#
31	Achagua	all	todos	tout	tudo	quantifier	$kininama$ <kinínama> (todo(s)) {Melendez 2011}	kinínama	kininama		kininama	k i n i n a m a	Melendez 2011	59	
32	Baré	all	todos	tout	tudo	quantifier	$wara$ (tudo, todos) {Oliveira 93}		wara		wara	w a r a	Oliveira 93	61	
33	Kabiyari	all	todos	tout	tudo	quantifier	<put'i> $put'i$ (tudo) {Epps}	put'i	put'i		put'i	p u t i	Epps	62	
34	Piapoco	all	todos	tout	tudo	quantifier	<canánama> $kanánama$ (tudo) {Epps}, <macáita> $makáita$ (tudo) {Epps}	canánama	kanánama		kanánama	k a n á n a m a	Epps	59	
35	Piapoco	all	todos	tout	tudo	quantifier	<canánama> $kanánama$ (tudo) {Epps}, <macáita> $makáita$ (tudo) {Epps}	macáita	makáita		makáita	m a k á i t a	Epps	68	
36	Resigaro	all	todos	tout	tudo	quantifier	$phéʔtóʔ$ (todos) {H&R 1992}		phéʔtóʔ		phéʔtóʔ	ph é ʔ t ó ʔ	H&R 1992	64	
37	Tariana	all	todos	tout	tudo	quantifier	$thúya$ (tudo) {Aikhenvald 2001}		thúya		thúya	th ú y a	Aikhenvald 2001	65	
38	Warekena	all	todos	tout	tudo	quantifier	$payaɾu$ (tudo) {Aikhenvald 2012}, $ube$ (tudo) {Aikhenvald 2012}		payaɾu		payaɾu	p a y a ɾ u	Aikhenvald 2012	66	
39	Warekena	all	todos	tout	tudo	quantifier	$payaɾu$ (tudo) {Aikhenvald 2012}, $ube$ (tudo) {Aikhenvald 2012}		ube		ube	u b e	Aikhenvald 2012	69	
40	Yukuna	all	todos	tout	tudo	quantifier	$pihukeha$ (tudo) {Epps}		pihukeha		pihukeha	p i h u k e h a	Epps	67	
4445	Baniwa	all			tudo		<phíome> (tudo) {Ramirez 2001}	phíome			phíome	ph í o m e	Ramirez 2001	60	
#
41	Achagua	animal	animal	animal	animal	animal	$kueʃerito:$ <kúeʃeritoo> (animal) {Melendez}	kúeʃeritoo	kueʃerito:		kueʃerito:	k u e ʃ e r i t o:	Melendez	70	
42	Resigaro	animal	animal	animal	animal	animal	$tshoveení$ (animal) {Allin 1979}		tshoveení		tshoveení	tsh o v ee n í	Allin 1979	72	
43	Tariana	animal	animal	animal	animal	animal	$ic̃iɾi$ (animal) {Aikhenvald 2001}		ic̃iɾi		ic̃iɾi	i c̃ i ɾ i	Aikhenvald 2001	73	
44	Warekena	animal	animal	animal	animal	animal	$patʃiaɾi$ (animal) {Aikhenvald 2012}		patʃiaɾi		patʃiaɾi	p a tʃ i a ɾ i	Aikhenvald 2012	73	
45	Yukuna	animal	animal	animal	animal	animal	$piɾahi$ (animal) {Schauer 2005}		piɾahi		piɾahi	p i ɾ a h i	Schauer 2005	71	
4446	Baniwa	animal			animal		<-píra> (animal de criação que era selvagem) %cachorro não entra TCC% {Ramirez 2001}, <pira> (animal nocivo) {Ramirez 2001}, <íitsiri> (animal de caça) {Ramirez 2001}	-píra			-píra	� p i � r a	Ramirez 2001	71	
4447	Baniwa	animal			animal		<-píra> (animal de criação que era selvagem) %cachorro não entra TCC% {Ramirez 2001}, <pira> (animal nocivo) {Ramirez 2001}, <íitsiri> (animal de caça) {Ramirez 2001}	pira			pira	p i r a	Ramirez 2001	71	
4448	Baniwa	animal			animal		<-píra> (animal de criação que era selvagem) %cachorro não entra TCC% {Ramirez 2001}, <pira> (animal nocivo) {Ramirez 2001}, <íitsiri> (animal de caça) {Ramirez 2001}	íitsiri			íitsiri	í i ts i r i	Ramirez 2001	73	
#
46	Achagua	ankle	tobillo	cheville	tornozelo	body part	$kuduʃi$ <kúduʃi> (tobillo) {Melendez 2011}	kúduʃi	kuduʃi		kuduʃi	k u d u ʃ i	Melendez 2011	74	
47	Piapoco	ankle	tobillo	cheville	tornozelo	body part	<cùlubàa> $kùlubàa$ (tornozelo) {Epps}	cùlubàa	kùlubàa		kùlubàa	k ù l u b à a	Epps	76	
48	Yukuna	ankle	tobillo	cheville	tornozelo	body part	$koʔohélahi$ (tornozelo) {Epps}		koʔohélahi		koʔohélahi	k o ʔ o h é l a h i	Epps	77	
4449	Baniwa	ankle			tornozelo		<tawírhe> (tornozelo) {Ramirez 2001}	tawírhe			tawírhe	t a w í rh e	Ramirez 2001	75	
#
49	Achagua	ant, general	hormiga	fourmi	formiga	insect	$keeʃi$ <kéeʃi> (hormiga) {Melendez 2011}	kéeʃi	keeʃi		keeʃi	k ee ʃ i	Melendez 2011	78	
50	Piapoco	ant, general	hormiga	fourmi	formiga	insect	<kuwée> $kuwée$ (formiga) {Epps}, $kéesi$ (formiga) {H&R 1992}	kuwée	kuwée		kuwée	k u w é e	Epps	80	
51	Piapoco	ant, general	hormiga	fourmi	formiga	insect	<kuwée> $kuwée$ (formiga) {Epps}, $kéesi$ (formiga) {H&R 1992}		kéesi		kéesi	k é e s i	H&R 1992	78	
52	Resigaro	ant, general	hormiga	fourmi	formiga	insect	$piíme$ (formiga) {H&R92}		piíme		piíme	p i í m e	H&R92	81	
53	Tariana	ant, general	hormiga	fourmi	formiga	insect	$kéwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $káiwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $ké:su$ (formiga, saúva) {Aikhenvald 2001}		kéwiɾi		kéwiɾi	k é w i ɾ i	Aikhenvald 2001	80	
54	Tariana	ant, general	hormiga	fourmi	formiga	insect	$kéwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $káiwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $ké:su$ (formiga, saúva) {Aikhenvald 2001}		káiwiɾi		káiwiɾi	k á i w i ɾ i	Aikhenvald 2001	80	
55	Tariana	ant, general	hormiga	fourmi	formiga	insect	$kéwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $káiwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $ké:su$ (formiga, saúva) {Aikhenvald 2001}		ké:su		ké:su	k é:s u	Aikhenvald 2001	78	
56	Warekena	ant, general	hormiga	fourmi	formiga	insect	$uwẽhẽ$ (formiga) {Aikhenvald 2012}		uwẽhẽ		uwẽhẽ	u w ẽ h ẽ	Aikhenvald 2012	83	
57	Yukuna	ant, general	hormiga	fourmi	formiga	insect	$kahaʔahúna$ (formiga) {Epps}		kahaʔahúna		kahaʔahúna	k a h a ʔ a h ú n a	Epps	84	
4450	Baniwa	ant, general			formiga		<keétto> (certo tipo de formiga maniuara comestível de tamanho medio) {Ramirez 2001}	keétto			keétto	k e é tt o	Ramirez 2001	79	
#
58	Achagua	anteater	oso hormiguero	fourmilier	tamanduá	animal	$mu:tuʃi$ <múutuʃi> (oso hormiguero) {Melendez 2011}	múutuʃi	mu:tuʃi		mu:tuʃi	m u: t u ʃ i	Melendez 2011	85	
59	Kabiyari	anteater	oso hormiguero	fourmilier	tamanduá	animal	<t̪áaru> $t̪áaɾu$ (tamanduá) {Epps}, $pá:paɾi$ (tamanduá) {Cyclopes}	t̪áaru	t̪áaɾu		t̪áaɾu	t̪ á a ɾ u	Epps	86	
60	Kabiyari	anteater	oso hormiguero	fourmilier	tamanduá	animal	<t̪áaru> $t̪áaɾu$ (tamanduá) {Epps}, $pá:paɾi$ (tamanduá) {Cyclopes}		pá:paɾi		pá:paɾi	p áː/aː áː/⁵ p a ɾ i	Cyclopes	91	
61	Piapoco	anteater	oso hormiguero	fourmilier	tamanduá	animal	<mutùsi> $mutùsi$ (tamanduá) {Epps}, $sálu$ (tamanduá) {H&R 1992}	mutùsi	mutùsi		mutùsi	m u t ùs i	Epps	85	
62	Piapoco	anteater	oso hormiguero	fourmilier	tamanduá	animal	<mutùsi> $mutùsi$ (tamanduá) {Epps}, $sálu$ (tamanduá) {H&R 1992}		sálu		sálu	s á l u	H&R 1992	89	
63	Resigaro	anteater	oso hormiguero	fourmilier	tamanduá	animal	$monóotsí$ (tamanduá pequeno) {Epps}, $piígí$ (tamanduá) {Epps}		monóotsí		monóotsí	m o n ó o ts í	Epps	88	
64	Resigaro	anteater	oso hormiguero	fourmilier	tamanduá	animal	$monóotsí$ (tamanduá pequeno) {Epps}, $piígí$ (tamanduá) {Epps}		piígí		piígí	p i í g í	Epps	93	
65	Tariana	anteater	oso hormiguero	fourmilier	tamanduá	animal	$sálu$ $sálu$ (tamanduá bandeira) {Epps}, $ãtẽ$ $ãtẽ$ (tamanduá) {Epps}		sálu		sálu	s á l u	Epps	89	
66	Tariana	anteater	oso hormiguero	fourmilier	tamanduá	animal	$sálu$ $sálu$ (tamanduá bandeira) {Epps}, $ãtẽ$ $ãtẽ$ (tamanduá) {Epps}		ãtẽ		ãtẽ	ã t ẽ	Epps	94	
67	Yukuna	anteater	oso hormiguero	fourmilier	tamanduá	animal	$haɾu$ (tamanduá) {Schauer 2005}, $saɾu$ (tamanduá) {Schauer 2005}		haɾu		haɾu	h a ɾ u	Schauer 2005	89	
68	Yukuna	anteater	oso hormiguero	fourmilier	tamanduá	animal	$haɾu$ (tamanduá) {Schauer 2005}, $saɾu$ (tamanduá) {Schauer 2005}		saɾu		saɾu	s a ɾ u	Schauer 2005	89	
#
69	Achagua	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$waláIuta$ <walaIuta> (caracol) {Melendez 2011}	walaIuta	waláIuta		waláIuta	w a l á <?> u t a	Melendez 2011	95	
70	Baré	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$tikua$ (caracol) {Oliveira 93}		tikua		tikua	t i k u a	Oliveira 93	96	
71	Tariana	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$kaɾasúda$ (caracol) {Aikhenvald 2001}		kaɾasúda		kaɾasúda	k a ɾ a s ú d a	Aikhenvald 2001	95	
72	Yukuna	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$kahoʔomá$ (caracol) {Schauer 2005}, $kahɾoʔomá$ (caracol) {Schauer 2005}		kahoʔomá		kahoʔomá	k a h o ʔ o m á	Schauer 2005	98	
73	Yukuna	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$kahoʔomá$ (caracol) {Schauer 2005}, $kahɾoʔomá$ (caracol) {Schauer 2005}		kahɾoʔomá		kahɾoʔomá	k a h ɾ o ʔ o m á	Schauer 2005	98	
#
74	Achagua	arm	brazo	bras	braço	body part	$na:ʃi$ <naaʃi> (brazo) {Melendez 2011}	naaʃi	na:ʃi		na:ʃi	n a: ʃ i	Melendez 2011	99	
75	Baré	arm	brazo	bras	braço	body part	$nu-dana$ (braço) {Oliveira 93}		nu-dana		nu-dana	n u � d a n a	Oliveira 93	101	
76	Piapoco	arm	brazo	bras	braço	body part	$wà-ana$ (braço) {H&R 1992}		wà-ana		wà-ana	wà-ana	H&R 1992	102	
77	Resigaro	arm	brazo	bras	braço	body part	$-aʔnapí$ (braço) {Allin 1979}		-aʔnapí		-aʔnapí	� a ʔ n a p i �	Allin 1979	103	
78	Tariana	arm	brazo	bras	braço	body part	$diápi$ (braço) {Aikhenvald 2001}		diápi		diápi	d i á p i	Aikhenvald 2001	104	
79	Warekena	arm	brazo	bras	braço	body part	$na:nu$ (braço) {Aikhenvald 2012}		na:nu		na:nu	n a: n u	Aikhenvald 2012	99	
