ID	DOCULECT	CONCEPT	CONCEPT_SPANISH	CONCEPT_FRENCH	CONCEPT_PORTUGUESE	SEMANTIC_FIELD	VALUE_IN_SOURCE	VALUE	FORM1	FORM2	FORM	SEGMENTS	SOURCE	COGID
37	Tariana	all	todos	tout	tudo	quantifier	$thúya$ (tudo) {Aikhenvald 2001}		thúya		thúya	th ú y a	Aikhenvald 2001	48
38	Warekena	all	todos	tout	tudo	quantifier	$payaɾu$ (tudo) {Aikhenvald 2012}, $ube$ (tudo) {Aikhenvald 2012}		payaɾu		payaɾu	p a y a ɾ u	Aikhenvald 2012	49
39	Warekena	all	todos	tout	tudo	quantifier	$payaɾu$ (tudo) {Aikhenvald 2012}, $ube$ (tudo) {Aikhenvald 2012}		ube		ube	u b e	Aikhenvald 2012	52
40	Yukuna	all	todos	tout	tudo	quantifier	$pihukeha$ (tudo) {Epps}		pihukeha		pihukeha	p i h u k e h a	Epps	50
41	Achagua	animal	animal	animal	animal	animal	$kueʃerito:$ <kúeʃeritoo> (animal) {Melendez}	kúeʃeritoo	kueʃerito:		kueʃerito:	k u e ʃ e r i t o:	Melendez	53
42	Resigaro	animal	animal	animal	animal	animal	$tshoveení$ (animal) {Allin 1979}		tshoveení		tshoveení	tsh o v ee n í	Allin 1979	54
43	Tariana	animal	animal	animal	animal	animal	$ic̃iɾi$ (animal) {Aikhenvald 2001}		ic̃iɾi		ic̃iɾi	i c̃ i ɾ i	Aikhenvald 2001	55
44	Warekena	animal	animal	animal	animal	animal	$patʃiaɾi$ (animal) {Aikhenvald 2012}		patʃiaɾi		patʃiaɾi	p a tʃ i a ɾ i	Aikhenvald 2012	56
45	Yukuna	animal	animal	animal	animal	animal	$piɾahi$ (animal) {Schauer 2005}		piɾahi		piɾahi	p i ɾ a h i	Schauer 2005	57
46	Achagua	ankle	tobillo	cheville	tornozelo	body part	$kuduʃi$ <kúduʃi> (tobillo) {Melendez 2011}	kúduʃi	kuduʃi		kuduʃi	k u d u ʃ i	Melendez 2011	58
47	Piapoco	ankle	tobillo	cheville	tornozelo	body part	<cùlubàa> $kùlubàa$ (tornozelo) {Epps}	cùlubàa	kùlubàa		kùlubàa	k ù l u b à a	Epps	59
48	Yukuna	ankle	tobillo	cheville	tornozelo	body part	$koʔohélahi$ (tornozelo) {Epps}		koʔohélahi		koʔohélahi	k o ʔ o h é l a h i	Epps	60
49	Achagua	ant, general	hormiga	fourmi	formiga	insect	$keeʃi$ <kéeʃi> (hormiga) {Melendez 2011}	kéeʃi	keeʃi		keeʃi	k ee ʃ i	Melendez 2011	61
50	Piapoco	ant, general	hormiga	fourmi	formiga	insect	<kuwée> $kuwée$ (formiga) {Epps}, $kéesi$ (formiga) {H&R 1992}	kuwée	kuwée		kuwée	k u w é e	Epps	62
51	Piapoco	ant, general	hormiga	fourmi	formiga	insect	<kuwée> $kuwée$ (formiga) {Epps}, $kéesi$ (formiga) {H&R 1992}		kéesi		kéesi	k é e s i	H&R 1992	61
52	Resigaro	ant, general	hormiga	fourmi	formiga	insect	$piíme$ (formiga) {H&R92}		piíme		piíme	p i í m e	H&R92	63
53	Tariana	ant, general	hormiga	fourmi	formiga	insect	$kéwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $káiwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $ké:su$ (formiga, saúva) {Aikhenvald 2001}		kéwiɾi		kéwiɾi	k é w i ɾ i	Aikhenvald 2001	62
54	Tariana	ant, general	hormiga	fourmi	formiga	insect	$kéwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $káiwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $ké:su$ (formiga, saúva) {Aikhenvald 2001}		káiwiɾi		káiwiɾi	k á i w i ɾ i	Aikhenvald 2001	62
55	Tariana	ant, general	hormiga	fourmi	formiga	insect	$kéwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $káiwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $ké:su$ (formiga, saúva) {Aikhenvald 2001}		ké:su		ké:su	k é:s u	Aikhenvald 2001	61
56	Warekena	ant, general	hormiga	fourmi	formiga	insect	$uwẽhẽ$ (formiga) {Aikhenvald 2012}		uwẽhẽ		uwẽhẽ	u w ẽ h ẽ	Aikhenvald 2012	65
57	Yukuna	ant, general	hormiga	fourmi	formiga	insect	$kahaʔahúna$ (formiga) {Epps}		kahaʔahúna		kahaʔahúna	k a h a ʔ a h ú n a	Epps	66
58	Achagua	anteater	oso hormiguero	fourmilier	tamanduá	animal	$mu:tuʃi$ <múutuʃi> (oso hormiguero) {Melendez 2011}	múutuʃi	mu:tuʃi		mu:tuʃi	m u: t u ʃ i	Melendez 2011	67
59	Kabiyari	anteater	oso hormiguero	fourmilier	tamanduá	animal	<t̪áaru> $t̪áaɾu$ (tamanduá) {Epps}, $pá:paɾi$ (tamanduá) {Cyclopes}	t̪áaru	t̪áaɾu		t̪áaɾu	t̪ á a ɾ u	Epps	68
60	Kabiyari	anteater	oso hormiguero	fourmilier	tamanduá	animal	<t̪áaru> $t̪áaɾu$ (tamanduá) {Epps}, $pá:paɾi$ (tamanduá) {Cyclopes}		pá:paɾi		pá:paɾi	p á: p a ɾ i	Cyclopes	73
61	Piapoco	anteater	oso hormiguero	fourmilier	tamanduá	animal	<mutùsi> $mutùsi$ (tamanduá) {Epps}, $sálu$ (tamanduá) {H&R 1992}	mutùsi	mutùsi		mutùsi	m u t ùs i	Epps	67
62	Piapoco	anteater	oso hormiguero	fourmilier	tamanduá	animal	<mutùsi> $mutùsi$ (tamanduá) {Epps}, $sálu$ (tamanduá) {H&R 1992}		sálu		sálu	s á l u	H&R 1992	71
63	Resigaro	anteater	oso hormiguero	fourmilier	tamanduá	animal	$monóotsí$ (tamanduá pequeno) {Epps}, $piígí$ (tamanduá) {Epps}		monóotsí		monóotsí	m o n ó o ts í	Epps	70
64	Resigaro	anteater	oso hormiguero	fourmilier	tamanduá	animal	$monóotsí$ (tamanduá pequeno) {Epps}, $piígí$ (tamanduá) {Epps}		piígí		piígí	p i í g í	Epps	75
65	Tariana	anteater	oso hormiguero	fourmilier	tamanduá	animal	$sálu$ $sálu$ (tamanduá bandeira) {Epps}, $ãtẽ$ $ãtẽ$ (tamanduá) {Epps}		sálu		sálu	s á l u	Epps	71
66	Tariana	anteater	oso hormiguero	fourmilier	tamanduá	animal	$sálu$ $sálu$ (tamanduá bandeira) {Epps}, $ãtẽ$ $ãtẽ$ (tamanduá) {Epps}		ãtẽ		ãtẽ	ã t ẽ	Epps	76
67	Yukuna	anteater	oso hormiguero	fourmilier	tamanduá	animal	$haɾu$ (tamanduá) {Schauer 2005}, $saɾu$ (tamanduá) {Schauer 2005}		haɾu		haɾu	h a ɾ u	Schauer 2005	71
68	Yukuna	anteater	oso hormiguero	fourmilier	tamanduá	animal	$haɾu$ (tamanduá) {Schauer 2005}, $saɾu$ (tamanduá) {Schauer 2005}		saɾu		saɾu	s a ɾ u	Schauer 2005	71
69	Achagua	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$waláIuta$ <walaIuta> (caracol) {Melendez 2011}	walaIuta	waláIuta		waláIuta	w a l á I u t a	Melendez 2011	77
70	Baré	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$tikua$ (caracol) {Oliveira 93}		tikua		tikua	t i k u a	Oliveira 93	78
71	Tariana	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$kaɾasúda$ (caracol) {Aikhenvald 2001}		kaɾasúda		kaɾasúda	k a ɾ a s ú d a	Aikhenvald 2001	77
72	Yukuna	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$kahoʔomá$ (caracol) {Schauer 2005}, $kahɾoʔomá$ (caracol) {Schauer 2005}		kahoʔomá		kahoʔomá	k a h o ʔ o m á	Schauer 2005	80
73	Yukuna	aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$kahoʔomá$ (caracol) {Schauer 2005}, $kahɾoʔomá$ (caracol) {Schauer 2005}		kahɾoʔomá		kahɾoʔomá	k a h ɾ o ʔ o m á	Schauer 2005	80
74	Achagua	arm	brazo	bras	braço	body part	$na:ʃi$ <naaʃi> (brazo) {Melendez 2011}	naaʃi	na:ʃi		na:ʃi	n a: ʃ i	Melendez 2011	81
75	Baré	arm	brazo	bras	braço	body part	$nu-dana$ (braço) {Oliveira 93}		nu-dana		nu-dana	n u d a n a	Oliveira 93	81
76	Piapoco	arm	brazo	bras	braço	body part	$wà-ana$ (braço) {H&R 1992}		wà-ana		wà-ana	w à a n a	H&R 1992	83
77	Resigaro	arm	brazo	bras	braço	body part	$-aʔnapí$ (braço) {Allin 1979}		-aʔnapí		-aʔnapí	a ʔ n a p í	Allin 1979	84
78	Tariana	arm	brazo	bras	braço	body part	$diápi$ (braço) {Aikhenvald 2001}		diápi		diápi	d i á p i	Aikhenvald 2001	85
79	Warekena	arm	brazo	bras	braço	body part	$na:nu$ (braço) {Aikhenvald 2012}		na:nu		na:nu	n a: n u	Aikhenvald 2012	81
80	Yukuna	arm	brazo	bras	braço	body part	$aʔanapitahi$ (braço) {Schauer 2005}		aʔanapitahi		aʔanapitahi	a ʔ a n a p i t a h i	Schauer 2005	84
81	Achagua	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$tʃe:$ <tʃée> {Melendez 2011}, $alitai$ <alítai> (armadillo) {Melendez 2011}	tʃée	tʃe:		tʃe:	tʃ e:	Melendez 2011	86
82	Achagua	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$tʃe:$ <tʃée> {Melendez 2011}, $alitai$ <alítai> (armadillo) {Melendez 2011}	alítai	alitai		alitai	a l i t a i	Melendez 2011	93
83	Kabiyari	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$tʃéʔe$ (tatu) {hr01}		tʃéʔe		tʃéʔe	tʃ é ʔ e	hr01	86
84	Piapoco	armadillo, general	armadillo, carachupa	tatou	tatu	animal	<tʃèe> $tʃèe$ (tatu) {dp91}, $álitali$ (tatu) {H&R 1992}	tʃèe	tʃèe		tʃèe	tʃ è e	dp91	86
85	Piapoco	armadillo, general	armadillo, carachupa	tatou	tatu	animal	<tʃèe> $tʃèe$ (tatu) {dp91}, $álitali$ (tatu) {H&R 1992}		álitali		álitali	á l i t a l i	H&R 1992	93
86	Resigaro	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$dʒóʔnó$ (tatu) {Epps}, $tsaʔi$ (tatu) {Epps}		dʒóʔnó		dʒóʔnó	dʒ ó ʔ n ó	Epps	86
87	Resigaro	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$dʒóʔnó$ (tatu) {Epps}, $tsaʔi$ (tatu) {Epps}		tsaʔi		tsaʔi	ts a ʔ i	Epps	86
88	Tariana	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$yé:$ (tatu) {Aikhenvald 2001}, $hemápiɾi$ $hemápiɾi$ (tatu canastra) {Epps}		yé:		yé:	y é:	Aikhenvald 2001	90
89	Tariana	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$yé:$ (tatu) {Aikhenvald 2001}, $hemápiɾi$ $hemápiɾi$ (tatu canastra) {Epps}		hemápiɾi		hemápiɾi	h e m á p i ɾ i	Epps	96
90	Warekena	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$kapíʃi$ (tatu) {Aikhenvald 2012}, $wétʃi$ (tatu) {Aikhenvald 2012}		kapíʃi		kapíʃi	k a p í ʃ i	Aikhenvald 2012	91
91	Warekena	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$kapíʃi$ (tatu) {Aikhenvald 2012}, $wétʃi$ (tatu) {Aikhenvald 2012}		wétʃi		wétʃi	w é tʃ i	Aikhenvald 2012	86
92	Yukuna	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$kapaʔahɾú$ (tatu médio) {Schauer 2005}, $kapaʔahlú$ (tatu médio) {Schauer 2005}, $muʔuhyumi$ (tatu pequeno) {Schauer 2005}, $yeʔé$ (teɾmo genérico) {Schauer 2005}		kapaʔahɾú		kapaʔahɾú	k a p a ʔ a h ɾ ú	Schauer 2005	91
93	Yukuna	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$kapaʔahɾú$ (tatu médio) {Schauer 2005}, $kapaʔahlú$ (tatu médio) {Schauer 2005}, $muʔuhyumi$ (tatu pequeno) {Schauer 2005}, $yeʔé$ (teɾmo genérico) {Schauer 2005}		kapaʔahlú		kapaʔahlú	k a p a ʔ a h l ú	Schauer 2005	91
94	Yukuna	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$kapaʔahɾú$ (tatu médio) {Schauer 2005}, $kapaʔahlú$ (tatu médio) {Schauer 2005}, $muʔuhyumi$ (tatu pequeno) {Schauer 2005}, $yeʔé$ (teɾmo genérico) {Schauer 2005}		muʔuhyumi		muʔuhyumi	m u ʔ u h y u m i	Schauer 2005	99
95	Yukuna	armadillo, general	armadillo, carachupa	tatou	tatu	animal	$kapaʔahɾú$ (tatu médio) {Schauer 2005}, $kapaʔahlú$ (tatu médio) {Schauer 2005}, $muʔuhyumi$ (tatu pequeno) {Schauer 2005}, $yeʔé$ (teɾmo genérico) {Schauer 2005}		yeʔé		yeʔé	y e ʔ é	Schauer 2005	90
96	Achagua	arrive	llegar	arriver	chegar	verb.mot	$dukueri$ <dúkueri> (alcanzar) {Melendez 2011}	dúkueri	dukueri		dukueri	d u k u e r i	Melendez 2011	100
97	Baré	arrive	llegar	arriver	chegar	verb.mot	$kasa$ (chegar) {Oliveira 93}		kasa		kasa	k a s a	Oliveira 93	101
98	Piapoco	arrive	llegar	arriver	chegar	verb.mot	$nùanà:ka$ (llegar) {Klumpp 1995}		nùanà:ka		nùanà:ka	n ù a n à: k a	Klumpp 1995	102
99	Resigaro	arrive	llegar	arriver	chegar	verb.mot	$thoʔ-ʒú$ (chegar) {Allin 1979}		thoʔ-ʒú		thoʔ-ʒú	th o ʔ ʒ ú	Allin 1979	103
100	Tariana	arrive	llegar	arriver	chegar	verb.mot	$diuká$ (chegar) {Aikhenvald 2001}		diuká		diuká	d i u k á	Aikhenvald 2001	100
101	Warekena	arrive	llegar	arriver	chegar	verb.mot	$nupa$ (chegar) {Aikhenvald 2012}, $yeɾeta$ (chegar) {Aikhenvald 2012}		nupa		nupa	n u p a	Aikhenvald 2012	105
102	Warekena	arrive	llegar	arriver	chegar	verb.mot	$nupa$ (chegar) {Aikhenvald 2012}, $yeɾeta$ (chegar) {Aikhenvald 2012}		yeɾeta		yeɾeta	y e ɾ e t a	Aikhenvald 2012	107
103	Yukuna	arrive	llegar	arriver	chegar	verb.mot	$waítʃa$ (chegaɾ, vir) {Schauer 2005}		waítʃa		waítʃa	w a í tʃ a	Schauer 2005	106
104	Achagua	arrow	flecha	flèche	seta, flecha	material culture	$tʃa:wideri$ <tʃáawideri> (flechar) {Melendez 2011}, $pu:ja$ <púuja> (punta de flecha) {Melendez 2011}	tʃáawideri	tʃa:wideri		tʃa:wideri	tʃ a: w i d e r i	Melendez 2011	108
105	Achagua	arrow	flecha	flèche	seta, flecha	material culture	$tʃa:wideri$ <tʃáawideri> (flechar) {Melendez 2011}, $pu:ja$ <púuja> (punta de flecha) {Melendez 2011}	púuja	pu:ja		pu:ja	p u: j a	Melendez 2011	116
106	Baré	arrow	flecha	flèche	seta, flecha	material culture	$dabidaha$ (flecha) {Oliveira 93}		dabidaha		dabidaha	d a b i d a h a	Oliveira 93	108
107	Kabiyari	arrow	flecha	flèche	seta, flecha	material culture	<t̪inúá> $t̪inúá$ (flecha) {Epps}	t̪inúá	t̪inúá		t̪inúá	t̪ i n ú á	Epps	110
