EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
arm	brazo	bras	braço	body part	$na:ʃi$ <naaʃi> (brazo) {Melendez 2011}	$-na:pa$ (braço) {Ramirez 2001}	$nu-dana$ (braço) {Oliveira 93}		$wà-ana$ (braço) {H&R 1992}	$-aʔnapí$ (braço) {Allin 1979}	$diápi$ (braço) {Aikhenvald 2001}	$na:nu$ (braço) {Aikhenvald 2012}	$aʔanapitahi$ (braço) {Schauer 2005}
armadillo (fish), armored catfish	armadillo (pez), carachama	tatou (poisson)	tatu (peixes), cascudo	fish									
armadillo, general	armadillo, carachupa	tatou	tatu	animal	$tʃe:$ <tʃée> {Melendez 2011}, $alitai$ <alítai> (armadillo) {Melendez 2011}	$a:ɺídaɺi$ (tatu, comum) {Ramirez 2001}		$tʃéʔe$ (tatu) {hr01}	<tʃèe> $tʃèe$ (tatu) {dp91}, $álitali$ (tatu) {H&R 1992}	$dʒóʔnó$ (tatu) {Epps}, $tsaʔi$ (tatu) {Epps}	$yé:$ (tatu) {Aikhenvald 2001}, $hemápiɾi$ $hemápiɾi$ (tatu canastra) {Epps}	$kapíʃi$ (tatu) {Aikhenvald 2012}, $wétʃi$ (tatu) {Aikhenvald 2012}	$kapaʔahɾú$ (tatu médio) {Schauer 2005}, $kapaʔahlú$ (tatu médio) {Schauer 2005}, $muʔuhyumi$ (tatu pequeno) {Schauer 2005}, $yeʔé$ (teɾmo genérico) {Schauer 2005}
arrive	llegar	arriver	chegar	verb.mot	$dukueri$ <dúkueri> (alcanzar) {Melendez 2011}	$-ó:ka$ (chegar) {Ramirez 2001}	$kasa$ (chegar) {Oliveira 93}		$nùanà:ka$ (llegar) {Klumpp 1995}	$thoʔ-ʒú$ (chegar) {Allin 1979}	$diuká$ (chegar) {Aikhenvald 2001}	$nupa$ (chegar) {Aikhenvald 2012}, $yeɾeta$ (chegar) {Aikhenvald 2012}	$waítʃa$ (chegaɾ, vir) {Schauer 2005}
arrow	flecha	flèche	seta, flecha	material culture	$tʃa:wideri$ <tʃáawideri> (flechar) {Melendez 2011}, $pu:ja$ <púuja> (punta de flecha) {Melendez 2011}	$kapítsiɻi$ (seta) {Ramirez 2001}	$dabidaha$ (flecha) {Oliveira 93}	<t̪inúá> $t̪inúá$ (flecha) {Epps}	<θitúa> $θitúa$ (flecha) {hr01}, <demá[pu] > $demá[pu]$ (flecha) {dp91}, <chucùlu> $tʃukùlu$ (flecha) {Epps}, $púja$ (flecha) {H&R 1992}	$noótsígú$ (flecha) {Epps}	$paitanípe$ (flecha) {Aikhenvald 2001}, $siduá-na$ (flecha) {Aikhenvald 2001}	$wepi:pi$ (flecha) {Aikhenvald 2012}	$ihihila$ (flecha) {Epps}
ashes	ceniza	cendres	cinzas	material culture	$ba:li$ <báali> (ceniza) {Melendez 2011}	$-wádzoɺe$ (cinzas) {Ramirez 2001}	$baridi$ (cinza) {Oliveira 93}	$paʔaɾi$ (cinzas) {Ramirez, 2001}	<balìi> $balìi$ (cinzas) {Epps}, <ibalìiná> $ibalìiná$ (cinzas) {Epps}	$ókóniigiJíhú$ (cinzas) {Epps}	$kádali$ (cinzas) {Aikhenvald 2001}, $páli$ (cinzas) {Aikhenvald 2001}	$eɾiɾi$ (cinza) {Aikhenvald 2012}	$paiʔilá$ (cinzas) {Epps}
ashes, dust	ceniza, polvo	cendres, poussière	poeira, pó	material culture	$pukupukui$ <pukúpukui> (polvo) {Melendez 2011}	$-wit̺aɺe$ (poeira) {Ramirez 2001}	$puera$ (poeira) {Oliveira 93}		$imuɺuísi$ (polvo) {Klumpp 1995}, $ísa$ (polvo) {Klumpp 1995}	$hípodzíhú$ (poeira) {H&R 1992}	$di-mhéni$ (pó) {Aikhenvald 2001}		$muʔupé$ (poeira) {Epps}
ask (question)	preguntar	poser	perguntar	verb.speak		$-t̺átha$ (perguntar) {Ramirez 2001}			$nusutáka nuémìaβa$ (preguntar) {Klumpp 1995}	$-hetsanó$ (perguntar) {Allin 1979}	$di-satá dhíma$ (perguntar) {Aikhenvald 2001}	$yata$ (perguntar) {Aikhenvald 2012}	
ask (request)	pedir	demander	pedir	verb.speak	$sateri$ <sáteri> (pedir) {Melendez 2011}	$t̺átha$ (pedir) {Ramirez 2001}			$nusutáka$ (pedir) {Klumpp 1995}	$-hemú$ (pedir) {Allin 1979}	$di-satá$ (pedir) {Aikhenvald 2001}		$keháʔakahe$ (pedir) {Schauer 2005}
at, to (ben or loc)	a, en, hacia	à, en	ás, em	ad.loc/ben.loc		$-ɺiko$ (em) {Ramirez 2001}			<iwéré> $iwéré$ (em, a) {Epps}	$-nú$ (em) {Epps}, $-gí$ (em) {Epps}			
avocado	palta	avocat	abacate	plant.edible		$pi:ɻídza$ (abacate) {Ramirez 2001}		<píritʃa> $píritʃa$ (abacate) {Epps}	<piritsa> $piɾitsa$ (abacate) {Epps}		$piɾíya$ (abacate) {Aikhenvald 2001}		$piɾiyé$ (abacate) {Epps}
axe	hacha	hache	machado	material culture	$tʃu:ʃi$ <tʃúuʃi> (hacha) {Melendez 2011}	$dzó:ka$ (machado) {Ramirez 2001}	$epʰi$ (machado) {Oliveira 93}		<chìpaali> $tʃìpaali$ (machado) {Epps}	$epíitsʰi$ (machado) {Epps}	$episí$ (machado) {Aikhenvald 2001}	$tsu:wahã$ (machado) {Aikhenvald 2012}	$hipa hiɲekaná$ (matʃado) {Epps}
back	espalda	dos	costas	body part	$wohunaʃi$ <wóhunaʃi> (espalda) {Melendez 2011}	$-t̺áma$ (costas) {Ramirez 2001}	$nabi$ (costas) {Oliveira 93}		<wadàa> $wadàa$ (costas) {Epps}	$vánʰí$ $ván̟í$ (costas) {Epps}	$di-sámise$ (costas) {Aikhenvald 2001}		$wahlehi$ (costas) {Epps}
bad	malo	mauvais	ruim	adv.qual	$ma:ʃi$ <máaʃi> (mal) {Melendez 2011}	$má:tshi$ (ruim) {Ramirez 2001}	$mapʰau$ (ruim) {Oliveira 93}	<tʃíʔka> $tʃíʔka$ (mal) {Epps}	<báawéeri> $bá:wé:ɾi$ (mal) {Epps}	$matsʰívaʔnúʔ$ (mal) {Epps}	$má:c̃ite$ (mal) {Aikhenvald 2001}	$matsewa$ (ruim) {Aikhenvald 2012}, $udzubaɾu$ (ruim) {Aikhenvald 2012}	$tʃapú$ (ɾuim) {Epps}
bamboo	guadua, bambú	bambou	bambu	plant	$iwowi$ <iwówi> (guadua) {Melendez 2011}	$í:wa$ (bambu) {Ramirez 2001}, $phe:ɺóma$ (bambu) {Ramirez 2001}, $já:ɺawa$ (bambu) {Ramirez 2001}			$iβáβi pú:bé:ɾi$ (bambú) {Klumpp 1995}				$hiwa$ (bambu) {Schauer 2005}
Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med		$ká:pi$ (caapi) {Ramirez 2001}, $dápi$ (cipó) {Ramirez 2001}		$ká:pi$ (cipó) {hr01}		$hutoobaʔʒóʔ$ (cipó) {Epps}	$dá:pi$ (cipó) {Aikhenvald 2001}		$yagé$ (capi) {Schauer 2005}
bark (of tree)	corteza, carapa	écorce	casca	plant	$i:manaʃi$ <íimanaʃi> (corteza) {Melendez 2011}	$-ja$ (casca) {Ramirez 2001}			$àiku íimami$ (casca) {H&R 1992}	$daʔmí$ (casca) {Epps}	$piɾi-mápha$ (casca de urucum) {Aikhenvald 2001}, $paɾamáɾi$ (casca para preparação de cintos) {Aikhenvald 2001}	$guwiʃa$ (casca) {Aikhenvald 2012}, $ma:tahã$ (casca) {Aikhenvald 2012}, $nuʃu$ (casca) {Aikhenvald 2012}	$ímahi$ (casca) {Epps}
basket	cesto, canasta	panier	cesto	material culture	$ke:mali$ <kéemali> (cesto) {Melendez 2011}	$dzawithída$ (cesto) {Ramirez 2001}, $ká:me$ (cesto) {Ramirez 2001}, $kaxadádaɺi$ (cesto) {Ramirez 2001}, $mokóto$ (cesto) {Ramirez 2001}, $ooɺóda$ (cesto) {Ramirez 2001}, $poɻot̺ána$ (cesto) {Ramirez 2001}, $tshé:to$ (cesto) {Ramirez 2001}, $waɺája$ (cesto) {Ramirez 2001}, $waná:ɺi$ (cesto) {Ramirez 2001}			<walàya> $walàja$ (cesto) {Epps}	$míípakó$ (cesto) {Epps}	$káme$ $káme$ (cesta) {Epps}, $mukutú$ $mukutú$ (cesta para transportar frutas) {Epps}, $kusíɾu-maka$ $kusíɾu-maka$ (pequeno balaio) {Epps}	$kanátu$ (cesta) {Aikhenvald 2012}	$kuwáʔala$ (cesto) {Epps}
bat	murcielago	chauve-souris	morcego	animal	$hiʃiri$ <híʃiri> (murcielago) {Melendez 2011}	$pí:t̺iɻi$ (morcego) {Ramirez 2001}, $waja:mani$ (morcego) {Ramirez 2001}, $wa:ɻóda$ (morcego) {Ramirez 2001}	$biyahau$ (morcego) {Oliveira 93}	<pít̪iri> $pít̪iri$ (morcego) {Epps}	<iwàyu> $iwàju$ (morcego) {Epps}	$pitsʰíigí$ (morcego) {Epps}	$písiɾi$ (morcego) {Aikhenvald 2001}		$pihiɾí$ (moɾcego) {Epps}
bat (vampire)	murcielago (vampiro)	chauve-souris (vampire)	vampiro	animal									
bathe	bañarse	baigner	banhar	verb.refl	$hideri$ <híderi> (bañar) {Melendez 2011}	$-pité:ta$ (banhar) {Ramirez 2001}	$kawa$ (banhar) {Oliveira 93}		$nùapìdaka$ (bañar) {Klumpp 1995}	$-aʔpitú$ (banhar) {Allin 1979}		$awa$ (tomar banho) {Aikhenvald 2012}	$aʔapitatákahe$ (banhaɾ) {Schauer 2005}
be angry	rabiar, enojarse	se fâcher	raiva	verb.emot		$-í:ɻoa$ (raiva) {Ramirez 2001}, $ké:ɻoa$ (raiva) {Ramirez 2001}			$kalúaka numànika$ (enojar) {Klumpp 1995}, $áuɺi jú:láika$ (rabia) {Klumpp 1995}, $ɺúasi$ (rabia) {Klumpp 1995}	$gadyaʔ-ʒú$ (enojar-se) {Allin 1979}	$kéɾu$ (bravo) {Aikhenvald 2001}	$aʃeni$ (estar com raiva) {Aikhenvald 2012}	$yútʃaʔakaho$ (ficar com raiva) {Schauer 2005}
be bitter	amargo	amer	amargo	verb.stat	$ihiʃi$ <ihíʃi> (amargo) {Melendez 2011}	$hi:pít̺i$ (amargo) {Ramirez 2001}			$ipisí:ɾi$ (amargo) {Klumpp 1995}, $ipìsika$ (amargo) {Klumpp 1995}	$epíitshííʔ$ (amargo) {Allin 1979}	$heteníte$ (amargo) {Aikhenvald 2001}, $hipisí$ (amargo) {Aikhenvald 2001}	$uɾuni$ (ser amargo) {Aikhenvald 2012}	$ipihini$ (coisa amarga) {Schauer 2005}
be black	negro	noir	preto	verb.stat	$katʃahulailau$ <katʃáhulailau> (negro) {Melendez 2011}	$í:t̺a$ (preto, maduro) {Ramirez 2001}	$tai$ (preto) {Oliveira 93}	<kewere-ri> $kewere-ri$ (preto) {Epps}	<cúulíiri> $kú:lí:ɾi$ (preto) {Epps}, $kú:ɺika$ (ser preto) {Klumpp 1995}	$tsaphóʔ$ (negro) {Allin 1979}	$kadíte$ (preto) {Aikhenvald 2001}	$ʃeʃeɾi$ (preto) {Aikhenvald 2012}	$kameni$ (preto) {Schauer 2005}
be blue	azul	bleu	azul	verb.stat	$ule:ji:$ <uléejii> (azul, verde) {Melendez 2011}	$á:moɺa$ (azul) {Ramirez 2001}	$kurini$ (azul) {Oliveira 93}		$kapìɾalé:ɾi$ (azul) {Klumpp 1995}, $kapìɾaɺéka$ (ser azul) {Klumpp 1995}		$hipolíte$ (ser) {Aikhenvald 2001}	$ayúneɾi$ (azul) {Aikhenvald 2012}	$ipuɾeni$ (azul claro) {Schauer 2005}, $ipiɾani$ (azul escuro) {Schauer 2005}
be born	nacer	naître	nascer	verb		$hí:ko$ (nascer) {Ramirez 2001}			$asáika$ (nacer) {Klumpp 1995}	$-kéʔʒó$ (nascer) {Allin 1979}	$kapudé-peɾi$ (nascer, planta) {Aikhenvald 2001}	$enina$ (nascer) {Aikhenvald 2012}	$motoʔokahe$ (nascer) {Schauer 2005}
be dark, be night	oscuro	dans le noir, faire nuit, sombre	escuro	verb.stat	$katawakai$ <katáwakai> (oscuro) {Melendez 2011}	$da:wáka$ (escuro) {Ramirez 2001}		$keweɾeka$ (escuro) {H&R 1992}	$katéeri$ (escuro) {H&R 1992}, $katáka$ (estar escuro) {Klumpp 1995}	$tsaphóʔ$ (escuro) {Allin 1979}			$kalaheɾuni$ (escuro) {H&R 1992}
be full.VI	llenar	remplir	encher	verb.stat	$ka:wai$ <káawai> (lleno, harto) {Melendez 2011}	$-ke:t̺adáta$ (encher) {Ramirez 2001}	$biu$ (cheio) {Oliveira 93}, $kawi$ (encher) {Oliveira 93}		$napuníadéeri$ (cheio) {H&R 1992}, $punínamáika$ (estar cheio) {Klumpp 1995}	$potsʰíʔmó$ (cheio) {H&R 1992}	$kesáma$ (cheio) {Aikhenvald 2001}	$atuɾapi$ (estar cheio) {Aikhenvald 2012}, $peɾu$ (estar cheio) {Aikhenvald 2012}	$manoʔokahe$ (encher) {Schauer 2005}
be hanging	estar colgado	suspendre, être pendu	pendurado	verb.stat	$kuahideriu$ <kúahideriu> (colgar) {Melendez 2011}	$íɻokawa$ (pendurado) {Ramirez 2001}			$nukùadaka$ (colgar) {Klumpp 1995}		$di-kwá$ (ficar pendurado) {Aikhenvald 2001}		
be happy	estar felíz	heureux	feliz	verb.emot	$saitai$ <sáitai> (alegre) {Melendez 2011}	$kat̺í:ma$ (feliz, alegre) {Ramirez 2001}			$kasí:máika$ (estar alegre) {Klumpp 1995}, $kasí:mái:ɾi$ (feliz) {Klumpp 1995}	$ke-tshiiʔ$ (feliz) {Allin 1979}, $-váɸó$ (feliz) {Allin 1979}	$púwhi$ (ser alegre) {Aikhenvald 2001}	$aʃuɾu$ (estar feliz) {Aikhenvald 2012}, $aʃuɾu$ (contente) {Aikhenvald 2012}	$puʔuhɲepú$ (animado) {Schauer 2005}, $pétʃuɾi$ (feliz) {Schauer 2005}
be hot	caliente	chaud	quente	verb.stat	$amuai$ <amuái> (caliente) {Melendez 2011}	$hámo$ (quente) {Ramirez 2001}	$taka-ni$ (quente) {Oliveira 93}	<muʔú> $muʔú$ (quente) {Epps}	<ùuléeri> $ùulé:ɾi$ (quente) {Epps}, $ù:leka$ (estar caliente) {Klumpp 1995}	$haʔmoʔ$ $haʔmoʔ$ (quente) {Epps}	$hamú-peɾi$ (quente) {Aikhenvald 2001}	$kamuɾuɾi$ (quente) {Aikhenvald 2012}	$imaʔaní$ (quente) {Schauer 2005}
be hungry	tener hambre	avoir faim	estar com fome	verb.stat		$mawit̺ákai$ (com fome) {Ramirez 2001}, $mepina:$ (não saciado) {Ramirez 2001}	$nu-nika$ (com fome) {Oliveira 93}		$má:pikái$ (hambre) {Klumpp 1995}	$-amáʔkaa-ní$ (fome) {Allin 1979}	$mhesiki alia$ (estar com fome) {Aikhenvald 2001}	$mawaɾi$ (estar com fome) {Aikhenvald 2012}	$meʔepihí$ (fome) {Schauer 2005}
be in inclined position	agacharse	être penché	agachar-se	verb.stat		$o:wha:$ (sentar-se, agachar-se) {Ramirez 2001}			$núaβinakaβa nukàβa í:nataβ$ (agacharse) {Klump95}, $awinakawa$ (sentar-se) {Epps}	$-(ʔ)námakaá$ (agachar-se) {Allin 1979}		$tsuɾuita$ (agachar) {Aikhenvald 2012}	$kuwáʔakaho$ (agachar) {Schauer 2005}
be intoxicated, hallucinate	(estar) mareado, borracho, ebrio	être ivre, halluciner	bêbado	verb.stat	$kamaimau$ <kámaimau> (borracho) {Melendez 2011}	$idewanakaíta$ (bêbado) {Ramirez 2001}				$kamovíigí$ (bêbado) {Allin 1979}	$kesaníka$ (embriagado) {Aikhenvald 2001}, $ámiri$ (embriagado) {Aikhenvald 2001}		$maweɾúkeʔetʃa$ (bêbado) {Schauer 2005}
be lost	perderse, perdido	se perdre, perdu	perdido	verb.stat		$má:naɺi$ (perdido) {Ramirez 2001}				$nánú$ (se perder) {Allin 1979}		$pipi$ (estar perdido) {Aikhenvald 2012}, $pipiña$ (se perder) {Aikhenvald 2012}	$kapitʃákaho$ (perder) {Schauer 2005}
be lying (in hammock)	acostarse en hamaca	se coucher dans un hamac	deitar-se	verb.stat	$kuaniriu$ <kuániriu> (descansar en hamaca) {Melendez 2011}	$-koawa$ (deitar-se) {Ramirez 2001}	$tikua$ (deitar) {Oliveira 93}	<ku'apu> $ku'apu$ (deitar) {Epps}, <huapuku> $huapuku$ (deitar) {Epps}	$wakùakawa$ (deitar) {H&R 1992}	$hepítakaá$ {Epps} (deitar-se), $tóʔmakaá$ (deitar-se) {Epps}	$di-swá$ (deitar) {Aikhenvald 2001}	$yuɾute$ (deitar) {Aikhenvald 2012}	$toʔokaho$ (deitar) {Schauer 2005}
be lying (on surface)	acostarse	se coucher, s'allonger	deitar-se	verb.stat	$ruweriu$ <rúweriu> (acostarse) {Melendez 2011}	$-koawa$ (deitar-se) {Ramirez 2001}	$tikua$ (deitar) {Oliveira 93}	<ku'apu> $ku'apu$ (deitar) {Epps}, <huapuku> $huapuku$ (deitar) {Epps}	$wakùakawa$ (deitar) {H&R 1992}	$hepítakaá$ {Epps} (deitar-se), $tóʔmakaá$ (deitar-se) {Epps}	$di-swá$ (deitar) {Aikhenvald 2001}	$yuɾute$ (deitar) {Aikhenvald 2012}	$toʔokaho$ (deitar) {Schauer 2005}
be odorous (fragrant)	estar oloroso, emanar olor	être odorant, parfumé	cheiroso	verb.stat	$i:saniʃi$ <íisaniʃi> (olor) {Melendez 2011}	$pomeni$ (cheiroso) {Ramirez 2001}			$kamasiɾé:ɾi$ (oloroso) {Klumpp 1995}		$kesáni$ (ter cheiro) {Aikhenvald 2001}	$puʃimeɾi$ (cheiroso) {Aikhenvald 2012}	$kamani$ (cheiroso) {Schauer 2005}
be pregnant	estar embarazada, preñada, encinta	être enceinte	grávida	verb.stat		$kewédani$ (grávida) {Ramirez2011}			$idé:ɾìkuìtʃúa$ (embarazada) {Klumpp 1995}, $kué:nibé:tʃúa$ (embarazada) {Klumpp 1995}	$ipóotsova-$ (estar grávida) {Allin 1979}	$ké:nipe$ (grávida) {Aikhenvald 2001}		$kanupaɾu$ (grávida) {Schauer 2005}
be ripe	(estar) maduro	être mûr	maduro	verb.stat	$hi:ri:$ <híirii> (maduro) {Melendez 2011}	$é:wa$ (maduro) {Ramirez 2001}, $í:ɻai$ (maduro) {Ramirez 2001}, $í:t̺a$ (maduro) {Ramirez 2001}, $pedáɺia$ (maduro) {Ramirez 2001}			$kíiréeri$ (maduro) {H&R 1992}, $kuí:ɾaka$ (maduro) {Klumpp 1995}, $mí:sika$ (estar maduro) {Klumpp 1995}, $bé:ɾika> (maduro) {Klumpp 1995}	$motshóovigí$ (maduro) {Allin 1979}	$súmu$ (maduro) {Aikhenvald 2001}, $púmaɾe$ (maduro) {Aikhenvald 2001}		$apaɾákahe$ (maduro) {H&R 1992}
be sad	tener pena	être triste	triste	verb.stat	$kaiwi:$ <káiwii> (dolor, ardor) {Melendez 2011}	$i:nóna:$ (tɻiste) {Ramirez 2001}			$atʃúmé:ɾi iβàβa$ (triste) {Klumpp 1995}	$khoni-ʔapóʔ$ (triste) {Allin 1979}	$kawalikupéda$ (estar triste) {Aikhenvald 2001}	$kuyuɾe$ (estar triste) {Aikhenvald 2012}	$kamuʔuhí pétʃuɾi$ (triste) {Schauer 2005}
be sharp (of edge)	tener filo, estar filudo	être aiguisé, tranchant, effilé	afiado	verb.stat	$ke:mai$ <kéemai> (afilado) {Melendez 2011}	$kemána$ (afiado) {Ramirez 2001}	$kʰimana$ (afiado) {Oliveira 93}	<pu-ma-ná> $pu-ma-ná$ (afiado) {Epps}	$kaserúníiri$ (afiado) {H&R 1992}		$pimaníta$ (afiado) {Aikhenvald 2001}	$amena$ (ser afiado) {Aikhenvald 2012}	$puweʔení$ (afiado) {Schauer 2005}
be sharp (of point)	agudo, cortante, punzante	être aiguisé, effilé, pointu	agudo, apontado	verb.stat									
be shiny	brillar	briller	brilhar	verb.stat		$kéɻa:$ (briɺhar) {Ramirez 2001}			$ikànaka$ (brillar) {Klumpp 1995}		$kéɾa$ (brilhar) {Aikhenvald 2001}		$mokoʔokahe$ (brilhar) {Schauer 2005}
be sick	enfermarse	être malade	enfermar-se, ficar doente (humano)	verb.stat	$balineriu$ <bálineriu> (enfermarse) {Melendez 2011}				$káukáikaka$ (estar enfermo) {Klumpp 1995}	$vakhá-ʒú$ (estar doente) {Allin 1979}	$ka-kámia$ (doente) {Aikhenvald 2001}	$anuana$ (estar doente) {Aikhenvald 2012}, $yaɾu$ (estar doente) {Aikhenvald 2012}	$yaɾípoʔokaho$ (ficar doente) {Schauer 2005}
be sick (non-human)	enfermarse (no humano)	être malade (non-humaine)	enfermar-se, ficar doente (não humano)	verb.stat	$balineriu$ <bálineriu> (enfermarse) {Melendez 2011}				$káukáikaka$ (estar enfermo) {Klumpp 1995}	$vakhá-ʒú$ (estar doente) {Allin 1979}	$ka-kámia$ (doente) {Aikhenvald 2001}	$anuana$ (estar doente) {Aikhenvald 2012}, $yaɾu$ (estar doente) {Aikhenvald 2012}	$yaɾípoʔokaho$ (ficar doente) {Schauer 2005}
be small	pequeño	petit	pequeno	verb.stat	$pi:tuitu:$ <píituituu> (pequeño) {Melendez 2011}	$tsó:$ (pequeno) {Ramirez 2001}, $tíki$ (pouquinho, muito pouco) {Ramirez 2001}, $-e:ni$ (maɻca do diminutivo) {Ramirez 2001}	$aweheti$ (pequeno) {Oliveira 93}	<karitʃhũĩ< $karitʃhũĩ$ (pequeno) {Epps}	<achúméeri> $atʃúmé:ɾi$ (pequeno) {Epps}, $já:na$ (pequeno) {Klumpp 1995}		$tsúite$ (pequeno) {Aikhenvald 2001}	$tsuituiɾi$ (pequeno) {Aikhenvald 2012}	$kamuʔuhini ɲani$ (pequeno) {Schauer 2005}
be smooth	liso	lisse	liso	verb.stat	$hunihuni$ <huníhuni> (liso) {Melendez 2011}	$ké:t̺i$ (liso) {Ramirez 2001}	$yawatʃehe$ (liso) {Oliveira 93}		$piní:ɾi$ (liso) {Klumpp 1995}	$heʔníʔ$ (liso) {H&R 1992}	$kesí-peɾi$ (liso) {Aikhenvald 2001}		$kapiluni$ (liso) {Schauer 2005}
